Source,Marshall class,Host,Declination,Magnitude,Spectrum,Light curve,Redshift,Additional notes
AT2019mhi,Unknown,Possibly associated with SCGR035081; an unknown-mag unclassified source,-33.7,host : o = 18.98,No data,"Observed in two different periods in 2019.Transient first time, constant second time. ",unknown,No ZTF data
AT2019mpp,Not classified,Orphan,-43.2,Gaia G-band = 18.78,No data,1 data point,unknown,"Apparently a high priority target, but snoozed. Believed to be a young SN in a faint host. No images available."
AT2019mrn,SNII,,,,,,,
AT2019mtw,AGN,,,,,,,
AT2019oop,SNIIp,,,,,,,
AT2019otb,CV,,,,,,,
AT2019peb,Unknown,Possibly associated with SDSS J214602.31+012555.0; r=21.95 mag galaxy,1.4,"peak : -22.30 , host : r = 19.37",No data,"Observed in two different periods in 2019.Transient first time, constant second time. ZTF : https://lasair.roe.ac.uk/object/ZTF19abuilka/",Host : z = 0.359,Host very faint in Aladin lite
AT2019syx,SNII,,,,,,,
AT2019tdc,Other,Orphan,-40,host : o = 18.95,Blue continuum. strong H emission lines,Observed in two different periods in 2019. Strong variation first time. Constant light curve second time,z = 0.074,No ZTF data
AT2019ths,SNIIn,,,,,,,
AT2019tpl,SNIIn,,,,,,,
AT2019tuq,SNII,,,,,,,
AT2020wnx,SNII,Possibly associated with 86600797636857929; r=18.18 mag galaxy,,,,,,
AT2020xkw,SNII,Possibly associated with SDSS J013056.92+185253.8; r=19.99 mag galaxy,,,,,,
AT2020xne,SNIa,"Possibly associated with 95930579055073481, r=15.60 mag stellar source",,,,,,
AT2020xqa,SNII,,,,,,,
AT2020xys,Unknown,Synonymous with 2MASXJ06295685-2658313; r=16.02 mag galaxy,-26,r = 17.64. host r = 16,"Blue continuum. Strong, broad H emission lines (+ some others)",ZTF : https://lasair.roe.ac.uk/object/ZTF19aaabvzh/,z = 0.072,Classified as NT according to ZTF. Very bright galaxy in images. 
AT2020ykb,SNII,,,,,,,
AT2020yxf,Other,,,,,,,
AT2020yzo,SNII,,,,,,,
AT2020znl,SNII,,,,,,,
AT2021aek,SNII,,,,,,,
AT2021agv,CV,,,,,,,
AT2021arg,SNII,,,,,,,
AT2021blz,TDE,,,,,,,
AT2021bmc,Other,Possibly associated with SDSS J082859.71+122509,12,host : r = 20.5,"Blue continuum. Spectrum from both PESSTO (high resolution, weak or no features) and ZTF (weak or no features)",Long-scale variations. ZTF : https://lasair.roe.ac.uk/object/ZTF21aaglrzc/,Unknown,Weak extended object?
AT2021bnw,SLSN-I,,,,,,,
AT2021bpd,CV,,,,,,,
AT2021cdv,SNII,,,,,,,
AT2021cgu,SNII,,,,,,,
AT2021cpi,SNII,,,,,,,
AT2021dib,SNI,,,,,,,
AT2021ecf,Not classified,Possibly associated with 05474900+0723589; J=16.38 mag galaxy,7.4,host : o = 19.03,No data,No ZTF,unknown,I cannot see that anyone has attempted to classify this one. Very little information available. Observed but outside the slit 
AT2021ek,SLSN-I,,,,,,,
AT2021ft,Unknown,Possibly associated with CGCG483-058; r=14.18 mag galaxy,26,,,,,Discussed over Zoom. Good target.
AT2021fw,CV,,,,,,,
AT2021fzp,SNII,,,,,,,
At2021gfo,SNI,,,,,,,
AT2021gvm,SNII,,,,,,,
AT2021hgd,CV,,,,,,,
AT2021jae,CV,,,,,,,
AT2021nx,SNII,,,,,,,
AT2021ok,SNII,,,,,,,
ATLAS20beli,Unknown,Possibly associated with ESO473-G003; J=13.35 mag galaxy,-25,"peak : -17.88 , host : o = 19.22",No data,ZTF : https://lasair.roe.ac.uk/object/ZTF20acmmfau/,z = 0.0563,May be a SN (according to ZTF). Located near a spiral arm.
ATLAS21gfy,SNII,,,,,,,
SN2019npx,SLSN-II,,,,,,,
ZTF19aailptb,SNIIn,,,,,,,
ZTF19aajwogx,SNII,,,,,,,
ZTF19abiagjr,AGN,,,,,,,
